top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1860 art       20   0  162832    436      0 S   0.0   0.0   0:24.04 at-spi2-registr
 220873 art       20   0    2492    432    360 T   0.0   0.0   0:00.00 time
   1948 art       20   0  235508    428      0 S   0.0   0.0   0:00.11 gsd-screensaver
 219673 art       20   0    2492    420    356 T   0.0   0.0   0:00.00 time
   1977 art       20   0  314096    392      0 S   0.0   0.0   0:00.08 gsd-wwan
 220137 art       20   0    2492    392    324 T   0.0   0.0   0:00.00 time
  29231 art       20   0  280416    376      0 S   0.0   0.0   0:00.04 gvfsd-http
   1932 art       20   0  309664    372      0 S   0.0   0.0   0:00.07 gsd-a11y-settin
    941 root      20   0  238776    340      0 S   0.0   0.0   0:03.31 boltd
   1633 art       20   0  314756    336      0 S   0.0   0.0   0:03.38 goa-identity-se
   1956 art       20   0  319504    336      0 S   0.0   0.0   0:00.08 gsd-sound
   1950 art       20   0  315164    300      0 S   0.0   0.0   0:00.09 gsd-smartcard
 197037 art       20   0   32.0g    300      8 S   0.0   0.0   0:00.03 chrome_crashpad
    880 root      20   0  126868    284      0 S   0.0   0.0   0:20.06 thermald
   1843 art       20   0  162704    272      0 S   0.0   0.0   0:00.01 ibus-memconf
 148975 art       20   0   11224    208      0 S   0.0   0.0   0:00.05 bash
    727 systemd+  20   0   91012    164      0 S   0.0   0.0   0:00.97 systemd-timesyn
   1565 art       20   0  170012    156      0 S   0.0   0.0   0:00.00 (sd-pam)
   1029 rtkit     21   1  153148    136      0 S   0.0   0.0   0:02.37 rtkit-daemon
    897 root      20   0  785440    124      0 S   0.0   0.0   1:06.76 PanGPS
  15767 art       20   0   32.0g    124     68 S   0.0   0.0   0:00.05 chrome_crashpad
 212707 art       20   0   10844    124      0 S   0.0   0.0   0:00.00 git-credential-
 159251 root      20   0  539968    108      0 S   0.0   0.0   0:01.83 xdg-desktop-por
   1439 kernoops  20   0   11260    104      0 S   0.0   0.0   0:21.20 kerneloops
   1446 kernoops  20   0   11260    100      0 S   0.0   0.0   0:21.25 kerneloops
   1607 art       20   0  378344     96      0 S   0.0   0.0   0:00.01 gvfsd-fuse
    845 root      20   0   39960     64      0 S   0.0   0.0   0:00.15 networkd-dispat
   4218 uuidd     20   0   10592     44      0 S   0.0   0.0   0:00.09 uuidd
    912 avahi     20   0    8560     36      0 S   0.0   0.0   0:00.00 avahi-daemon
   1754 art       20   0    6032     32      0 S   0.0   0.0   0:00.96 ssh-agent
 158997 root      20   0    7580     20      0 S   0.0   0.0   0:00.06 dbus-daemon
   6373 art       20   0   72944      8      0 S   0.0   0.0   0:00.01 kdeinit5
  15777 art       20   0   32.0g      8      4 S   0.0   0.0   0:00.00 nacl_helper
 158996 root      20   0    7384      8      0 S   0.0   0.0   0:00.00 dbus-launch
  23707 art       20   0    6032      4      0 S   0.0   0.0   0:00.00 ssh-agent
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.22 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0.0   0.0   0:04.22 ksoftirqd/0
     10 root      20   0       0      0      0 I   0.0   0.0   3:20.88 rcu_sched
     11 root      rt   0       0      0      0 S   0.0   0.0   0:01.17 migration/0
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:02.10 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     17 root      rt   0       0      0      0 S   0.0   0.0   0:01.17 migration/1
     18 root      20   0       0      0      0 S   0.0   0.0   0:07.54 ksoftirqd/1
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.06 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     23 root      rt   0       0      0      0 S   0.0   0.0   0:01.21 migration/2
     24 root      20   0       0      0      0 S   0.0   0.0   0:04.48 ksoftirqd/2
     27 root      20   0       0      0      0 S   0.0   0.0   0:01.06 cpuhp/3
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     29 root      rt   0       0      0      0 S   0.0   0.0   0:01.29 migration/3
     30 root      20   0       0      0      0 S   0.0   0.0   0:03.77 ksoftirqd/3
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kdevtmpfs
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_kthre
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.41 khungtaskd
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
